	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU6275	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales			
OTU6276	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	
OTU6277	Bacteria	Verrucomicrobiota	Kiritimatiellia	WCHB1-41			
OTU6278	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Mycetocola	
OTU6279	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae		
OTU6280	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	
OTU6281	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	CAG-352	
OTU6282	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast			
OTU6283	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
OTU6284	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
OTU6285	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	
OTU6286	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	
OTU6287	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
OTU6288	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		
OTU6289	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	
OTU6290	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Lawsonella	
OTU6291	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	
OTU6292	Eukaryota						
OTU6293	Eukaryota						
OTU6294	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast			
OTU6295	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast			
OTU6296	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU6297	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	
OTU6298	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	
OTU6299	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU6300	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214 group	
OTU6301	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU6302	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
OTU6303	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
